FID,LATITUDE,LONGITUDE,MINERAL,DESCRIPTION,PURETE
0,-12.0492445729999,13.530765524,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
1,-12.0359485299999,13.420686865,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
2,-12.0904511959999,13.354410202,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
3,-12.1499694649999,13.273832958,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
4,-12.1607246189999,13.187917929,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
5,-12.0587601459999,13.148532233,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
6,-12.0577794359999,13.058877922,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
7,-12.0026684979999,13.027508349,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
8,-11.9436584649999,13.069829185,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
9,-11.9868288859999,13.12768581,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
10,-11.9893898479999,13.217323784,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
11,-11.9845380349999,13.314042297,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
12,-11.9648054149999,13.42850168,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
13,-11.9586837269999,13.52010676,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
14,-11.8857722699999,13.394679985,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
15,-11.9265768369999,13.266753667,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
16,-11.9095940919999,13.162610068,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
17,-11.8195498589999,13.082887249,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
18,-11.8541926679999,13.204943489,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
19,-11.7997620889999,13.308984505,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
20,-11.7244666059999,13.332320135,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
21,-11.6869305379999,13.392835984,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
22,-11.6226271279999,13.36859674,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
23,-11.7583015159999,13.264667079,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
24,-11.8893070819999,13.32006101,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
25,-12.0364237709999,13.260886924,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
26,-12.0133290819999,13.353810649,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
27,-12.0839031209999,13.268603968,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
28,-12.0918173899999,13.218510035,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
29,-12.1257474839999,13.132860809,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
30,-11.9716303929999,13.174102791,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
31,-11.9270719069999,13.227334349,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
32,-11.8441396569999,13.13314206,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
33,-11.8883758959999,13.1050092,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
